AssetPath,Folder,idhash,medianame,dateCreated,datePublished,dateModified,description,copyright,pHash,type,archive,limited,watermark,isPublic,isDownloadable,audit,isRemoved,userCreated,userModified,tags,originalFilename,extension,Asset Type,Asset Subtype,Trello,Expert,UsageRights,Contributor,Editor,Writer,Production,Reviewer,Campaign,Channel,Year,Product Category,Product Sub-Category,Product Name,Brand,SKU #,Topic ID,Related Assets
83360E5A-A339-4F44-AEC4B6A2CB4A9FA7/Kimchi_1924.jpg,83360E5A-A339-4F44-AEC4B6A2CB4A9FA7,c35ae603e38b4aca,Kimchi_1924,7/8/21,6/2/20,8/7/21,0,0,26014977383,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200602_Kimchi,food prep",Kimchi_1924.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
8500611C-F16D-4651-B83B45FD05BD1CA4/DSC_9607.jpg,8500611C-F16D-4651-B83B45FD05BD1CA4,61f64d1b53105501,DSC_9607,7/8/21,6/16/20,8/7/21,0,0,3371324690,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,20200531 - Fermented peppers,DSC_9607.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
84930B30-A4FB-4FF2-90FB702F11746EC1/DSC_9207.jpg,84930B30-A4FB-4FF2-90FB702F11746EC1,048f02aff49cbf7f,DSC_9207,7/8/21,6/16/20,8/7/21,0,0,10571741360,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200531 - Fermented peppers,ingredients,Jar",DSC_9207.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
8747576E-2E79-45EA-8EA4B233825E3EEB/DSC_8549.jpg,8747576E-2E79-45EA-8EA4B233825E3EEB,8447e7e53892e235,DSC_8549,7/8/21,5/31/20,8/7/21,0,0,42736086604,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200531 - Fermented peppers,chop,ingredients,knife",DSC_8549.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
874DAB6A-AB11-45DB-9F037DC430CE994D/DSC_8505.jpg,874DAB6A-AB11-45DB-9F037DC430CE994D,9d45a4031b714a7d,DSC_8505,7/8/21,5/31/20,8/7/21,0,0,27327054983,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200531 - Fermented peppers,chop,ingredients,knife,onion",DSC_8505.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
84F0FB55-AF7E-428D-A982F582C21F7CE1/DSC_8501.jpg,84F0FB55-AF7E-428D-A982F582C21F7CE1,882e8c4cfa2df4fa,DSC_8501,7/8/21,5/31/20,8/7/21,0,0,63517647889,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200531 - Fermented peppers,chop,ingredients,knife,onion",DSC_8501.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
84C2A4A1-3B6A-48D7-A04AE50F173FA85A/DSC_8409.jpg,84C2A4A1-3B6A-48D7-A04AE50F173FA85A,4f08a5ca45fdaaa7,DSC_8409,7/8/21,5/31/20,8/7/21,0,0,26298517448,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200531 - Fermented peppers,ingredients",DSC_8409.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
86ACE0F9-35D4-4446-A29B17831130365C/DSC_8374.jpg,86ACE0F9-35D4-4446-A29B17831130365C,31c259090436458f,DSC_8374,7/8/21,5/31/20,8/7/21,0,0,51170068286,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200531 - Fermented peppers,Colander,Drain",DSC_8374.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0
83E9D31F-C03F-4B4E-B5CC6AB8CB6A9603/ClothMask_Model_0477.jpg,83E9D31F-C03F-4B4E-B5CC6AB8CB6A9603,338c56c1fc3bd48f,ClothMask_Model_0477,7/8/21,4/15/20,8/7/21,0,0,53786427602,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,20200416_ClothMask_Model,ClothMask_Model_0477.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,Health & Wellness,Medical Supplies & Equipment,Face Masks,0,0,0,0
84EE539F-AF26-422F-9A9A5E14CC29FB52/ClothMask_0347.jpg,84EE539F-AF26-422F-9A9A5E14CC29FB52,a5ff2e4562f48c3c,ClothMask_0347,7/8/21,4/14/20,8/7/21,0,0,42352237633,image,0,0,0,0,1,0,0,sean@thedamconsultants.com,sean@thedamconsultants.com,"20200415_ClothMask,Filter",ClothMask_0347.jpg,jpg,Images,Lifestyle Photo,0,0,0,0,0,0,0,0,0,0,2020,Health & Wellness,Medical Supplies & Equipment,Face Masks,0,0,0,0
